,Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4
1409,Dengue, skin rash, chills, joint pain, vomiting
1410,Typhoid, chills, vomiting, fatigue, high fever
1411,Typhoid, chills, vomiting, fatigue, high fever
1412,Typhoid, chills, vomiting, fatigue, high fever
1413,Typhoid, chills, vomiting, fatigue, high fever
1414,Typhoid, chills, vomiting, fatigue, high fever
1415,Typhoid, chills, vomiting, fatigue, high fever
1416,Typhoid, chills, vomiting, fatigue, high fever
1417,Typhoid, chills, vomiting, fatigue, high fever
1418,Typhoid, chills, vomiting, fatigue, high fever
1419,Typhoid, chills, fatigue, high fever, headache
1420,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1421,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1422,hepatitis A, vomiting, yellowish skin, dark urine, nausea
1423,hepatitis A, joint pain, yellowish skin, dark urine, nausea
1424,hepatitis A, joint pain, vomiting, dark urine, nausea
1425,hepatitis A, joint pain, vomiting, yellowish skin, nausea
1426,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1427,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1428,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1429,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1430,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1431,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1432,Hepatitis B, fatigue, lethargy, yellowish skin, dark urine
1433,Hepatitis B,itching, lethargy, yellowish skin, dark urine
1434,Hepatitis B,itching, fatigue, yellowish skin, dark urine
1435,Hepatitis B,itching, fatigue, lethargy, dark urine
1436,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1437,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1438,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1439,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1440,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
1441,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
1442,Hepatitis C, yellowish skin, nausea, loss of appetite, yellowing of eyes
1443,Hepatitis C, fatigue, nausea, loss of appetite, yellowing of eyes
1444,Hepatitis C, fatigue, yellowish skin, loss of appetite, yellowing of eyes
1445,Hepatitis C, fatigue, yellowish skin, nausea, yellowing of eyes
1446,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
1447,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
1448,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
1449,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
1450,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
1451,Hepatitis D, vomiting, fatigue, yellowish skin, dark urine
1452,Hepatitis D, joint pain, fatigue, yellowish skin, dark urine
1453,Hepatitis D, joint pain, vomiting, yellowish skin, dark urine
1454,Hepatitis D, joint pain, vomiting, fatigue, dark urine
1455,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
1456,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
1457,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
1458,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
1459,Hepatitis D, joint pain, vomiting, fatigue, yellowish skin
1460,Hepatitis E, joint pain, vomiting, fatigue, high fever
1461,Hepatitis E, joint pain, vomiting, fatigue, high fever
1462,Hepatitis E, joint pain, vomiting, fatigue, high fever
1463,Hepatitis E, vomiting, fatigue, high fever, yellowish skin
1464,Hepatitis E, joint pain, fatigue, high fever, yellowish skin
1465,Hepatitis E, joint pain, vomiting, high fever, yellowish skin
1466,Hepatitis E, joint pain, vomiting, fatigue, yellowish skin
1467,Hepatitis E, joint pain, vomiting, fatigue, high fever
1468,Hepatitis E, joint pain, vomiting, fatigue, high fever
1469,Hepatitis E, joint pain, vomiting, fatigue, high fever
1470,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
1471,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
1472,Alcoholic hepatitis, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen
1473,Alcoholic hepatitis, vomiting, abdominal pain, swelling of stomach, distention of abdomen
1474,Alcoholic hepatitis, vomiting, yellowish skin, swelling of stomach, distention of abdomen
1475,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, distention of abdomen
1476,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
1477,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
1478,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
1479,Alcoholic hepatitis, vomiting, yellowish skin, abdominal pain, swelling of stomach
1480,Tuberculosis, chills, vomiting, fatigue, weight loss
1481,Tuberculosis, chills, vomiting, fatigue, weight loss
1482,Tuberculosis, vomiting, fatigue, weight loss, cough
1483,Tuberculosis, chills, fatigue, weight loss, cough
1484,Tuberculosis, chills, vomiting, weight loss, cough
1485,Tuberculosis, chills, vomiting, fatigue, cough
1486,Tuberculosis, chills, vomiting, fatigue, weight loss
1487,Tuberculosis, chills, vomiting, fatigue, weight loss
1488,Tuberculosis, chills, vomiting, fatigue, weight loss
1489,Tuberculosis, chills, vomiting, fatigue, weight loss
1490,Common Cold, continuous sneezing, chills, fatigue, cough
1491,Common Cold, continuous sneezing, chills, fatigue, cough
1492,Common Cold, chills, fatigue, cough, high fever
1493,Common Cold, continuous sneezing, fatigue, cough, high fever
1494,Common Cold, continuous sneezing, chills, cough, high fever
1495,Common Cold, continuous sneezing, chills, fatigue, high fever
1496,Common Cold, continuous sneezing, chills, fatigue, cough
1497,Common Cold, continuous sneezing, chills, fatigue, cough
1498,Common Cold, continuous sneezing, chills, fatigue, cough
1499,Common Cold, continuous sneezing, chills, fatigue, cough
1500,Pneumonia, chills, fatigue, cough, high fever
1501,Pneumonia, chills, fatigue, cough, high fever
1502,Pneumonia, chills, fatigue, cough, high fever
1503,Pneumonia, fatigue, cough, high fever, breathlessness
1504,Pneumonia, chills, cough, high fever, breathlessness
1505,Pneumonia, chills, fatigue, high fever, breathlessness
1506,Pneumonia, chills, fatigue, cough, breathlessness
1507,Pneumonia, chills, fatigue, cough, high fever
1508,Pneumonia, chills, fatigue, cough, high fever
1509,Pneumonia, chills, fatigue, cough, high fever
1510,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
1511,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
1512,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
1513,Dimorphic hemmorhoids(piles), pain during bowel movements, pain in anal region, bloody stool, irritation in anus
1514,Dimorphic hemmorhoids(piles), constipation, pain in anal region, bloody stool, irritation in anus
1515,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, bloody stool, irritation in anus
1516,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, irritation in anus
1517,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
1518,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
1519,Dimorphic hemmorhoids(piles), constipation, pain during bowel movements, pain in anal region, bloody stool
1520,Heart attack, vomiting, breathlessness, sweating, chest pain
1521,Heart attack, vomiting, breathlessness, sweating, chest pain
1522,Heart attack, breathlessness, sweating, chest pain,
1523,Heart attack, vomiting, sweating, chest pain,
1524,Heart attack, vomiting, breathlessness, chest pain,
1525,Heart attack, vomiting, breathlessness, sweating,
1526,Heart attack, vomiting, breathlessness, sweating, chest pain
1527,Heart attack, breathlessness, sweating, chest pain,
1528,Heart attack, vomiting, sweating, chest pain,
1529,Heart attack, vomiting, breathlessness, chest pain,
1530,Varicose veins, fatigue, cramps, bruising, obesity
1531,Varicose veins, fatigue, cramps, bruising, obesity
1532,Varicose veins, cramps, bruising, obesity, swollen legs
1533,Varicose veins, fatigue, bruising, obesity, swollen legs
1534,Varicose veins, fatigue, cramps, obesity, swollen legs
1535,Varicose veins, fatigue, cramps, bruising, swollen legs
1536,Varicose veins, fatigue, cramps, bruising, obesity
1537,Varicose veins, fatigue, cramps, bruising, obesity
1538,Varicose veins, fatigue, cramps, bruising, obesity
1539,Varicose veins, fatigue, cramps, bruising, obesity
1540,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
1541,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
1542,Hypothyroidism, weight gain, cold hands and feets, mood swings, lethargy
1543,Hypothyroidism, weight gain, cold hands and feets, mood swings, lethargy
1544,Hypothyroidism, fatigue, cold hands and feets, mood swings, lethargy
1545,Hypothyroidism, fatigue, weight gain, mood swings, lethargy
1546,Hypothyroidism, fatigue, weight gain, cold hands and feets, lethargy
1547,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
1548,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
1549,Hypothyroidism, fatigue, weight gain, cold hands and feets, mood swings
1550,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
1551,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
1552,Hyperthyroidism, mood swings, weight loss, restlessness, sweating
1553,Hyperthyroidism, fatigue, weight loss, restlessness, sweating
1554,Hyperthyroidism, fatigue, mood swings, restlessness, sweating
1555,Hyperthyroidism, fatigue, mood swings, weight loss, sweating
1556,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
1557,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
1558,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
1559,Hyperthyroidism, fatigue, mood swings, weight loss, restlessness
1560,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1561,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1562,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1563,Hypoglycemia, fatigue, anxiety, sweating, headache
1564,Hypoglycemia, vomiting, anxiety, sweating, headache
1565,Hypoglycemia, vomiting, fatigue, sweating, headache
1566,Hypoglycemia, vomiting, fatigue, anxiety, headache
1567,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1568,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1569,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1570,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
1571,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
1572,Osteoarthristis, neck pain, knee pain, hip joint pain, swelling joints
1573,Osteoarthristis, joint pain, knee pain, hip joint pain, swelling joints
1574,Osteoarthristis, joint pain, neck pain, hip joint pain, swelling joints
1575,Osteoarthristis, joint pain, neck pain, knee pain, swelling joints
1576,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
1577,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
1578,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
1579,Osteoarthristis, joint pain, neck pain, knee pain, hip joint pain
1580,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
1581,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
1582,Arthritis, stiff neck, swelling joints, movement stiffness, painful walking
1583,Arthritis, muscle weakness, swelling joints, movement stiffness, painful walking
1584,Arthritis, muscle weakness, stiff neck, movement stiffness, painful walking
1585,Arthritis, muscle weakness, stiff neck, swelling joints, painful walking
1586,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
1587,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
1588,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
1589,Arthritis, muscle weakness, stiff neck, swelling joints, movement stiffness
1590,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
1591,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
1592,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning movements, loss of balance
1593,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning movements, loss of balance
1594,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning movements, loss of balance
1595,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss of balance
1596,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
1597,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
1598,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning movements
1599,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss of balance
1600,Acne, skin rash, pus filled pimples, blackheads, scurring
1601,Acne, skin rash, pus filled pimples, blackheads, scurring
1602,Acne, pus filled pimples, blackheads, scurring,
1603,Acne, skin rash, blackheads, scurring,
1604,Acne, skin rash, pus filled pimples, scurring,
1605,Acne, skin rash, pus filled pimples, blackheads,
1606,Acne, skin rash, pus filled pimples, blackheads, scurring
1607,Acne, skin rash, pus filled pimples, blackheads,
1608,Acne, skin rash, pus filled pimples, scurring,
1609,Acne, skin rash, blackheads, scurring,
1610,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine
1611,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine
1612,Urinary tract infection, bladder discomfort, foul smell of urine, continuous feel of urine,
1613,Urinary tract infection, burning micturition, foul smell of urine, continuous feel of urine,
1614,Urinary tract infection, burning micturition, bladder discomfort, continuous feel of urine,
1615,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine,
1616,Urinary tract infection, burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine
1617,Urinary tract infection, burning micturition, bladder discomfort, continuous feel of urine,
1618,Urinary tract infection, bladder discomfort, foul smell of urine, continuous feel of urine,
1619,Urinary tract infection, burning micturition, bladder discomfort, continuous feel of urine,
1620,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
1621,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
1622,Psoriasis, joint pain, skin peeling, silver like dusting, small dents in nails
1623,Psoriasis, skin rash, skin peeling, silver like dusting, small dents in nails
1624,Psoriasis, skin rash, joint pain, silver like dusting, small dents in nails
1625,Psoriasis, skin rash, joint pain, skin peeling, small dents in nails
1626,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
1627,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
1628,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
1629,Psoriasis, skin rash, joint pain, skin peeling, silver like dusting
1630,Impetigo, skin rash, high fever, blister, red sore around nose
1631,Impetigo, skin rash, high fever, blister, red sore around nose
1632,Impetigo, high fever, blister, red sore around nose, yellow crust ooze
1633,Impetigo, skin rash, blister, red sore around nose, yellow crust ooze
1634,Impetigo, skin rash, blister, red sore around nose, yellow crust ooze
1635,Impetigo, skin rash, high fever, red sore around nose, yellow crust ooze
1636,Impetigo, skin rash, high fever, blister, yellow crust ooze
1637,Impetigo, skin rash, high fever, blister, red sore around nose
1638,Impetigo, skin rash, high fever, blister, red sore around nose
1639,Impetigo, skin rash, blister, red sore around nose, yellow crust ooze
1640,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches
1641,Fungal infection, skin rash, nodal skin eruptions, dischromic  patches,
1642,Fungal infection,itching, nodal skin eruptions, dischromic  patches,
1643,Fungal infection,itching, skin rash, dischromic  patches,
1644,Fungal infection,itching, skin rash, nodal skin eruptions,
1645,Fungal infection, skin rash, nodal skin eruptions, dischromic  patches,
1646,Fungal infection,itching, nodal skin eruptions, dischromic  patches,
1647,Fungal infection,itching, skin rash, dischromic  patches,
1648,Fungal infection,itching, skin rash, nodal skin eruptions,
1649,Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches
1650,Allergy, continuous sneezing, shivering, chills, watering from eyes
1651,Allergy, shivering, chills, watering from eyes,
1652,Allergy, continuous sneezing, chills, watering from eyes,
1653,Allergy, continuous sneezing, shivering, watering from eyes,
1654,Allergy, continuous sneezing, shivering, chills,
1655,Allergy, shivering, chills, watering from eyes,
1656,Allergy, continuous sneezing, chills, watering from eyes,
1657,Allergy, continuous sneezing, shivering, watering from eyes,
1658,Allergy, continuous sneezing, shivering, chills,
1659,Allergy, continuous sneezing, shivering, chills, watering from eyes
1660,GERD, stomach pain, acidity, ulcers on tongue, vomiting
1661,GERD, stomach pain, ulcers on tongue, vomiting, cough
1662,GERD, stomach pain, acidity, vomiting, cough
1663,GERD, stomach pain, acidity, ulcers on tongue, cough
1664,GERD, stomach pain, acidity, ulcers on tongue, vomiting
1665,GERD, stomach pain, acidity, ulcers on tongue, vomiting
1666,GERD, acidity, ulcers on tongue, vomiting, cough
1667,GERD, stomach pain, ulcers on tongue, vomiting, cough
1668,GERD, stomach pain, acidity, vomiting, cough
1669,GERD, stomach pain, acidity, ulcers on tongue, cough
1670,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
1671,Chronic cholestasis, vomiting, yellowish skin, nausea, loss of appetite
1672,Chronic cholestasis,itching, yellowish skin, nausea, loss of appetite
1673,Chronic cholestasis,itching, vomiting, nausea, loss of appetite
1674,Chronic cholestasis,itching, vomiting, yellowish skin, loss of appetite
1675,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
1676,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
1677,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
1678,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
1679,Chronic cholestasis,itching, vomiting, yellowish skin, nausea
1680,Drug Reaction,itching, skin rash, stomach pain, burning micturition
1681,Drug Reaction,itching, stomach pain, burning micturition, spotting  urination
1682,Drug Reaction,itching, skin rash, burning micturition, spotting  urination
1683,Drug Reaction,itching, skin rash, stomach pain, spotting  urination
1684,Drug Reaction,itching, skin rash, stomach pain, burning micturition
1685,Drug Reaction, skin rash, stomach pain, burning micturition, spotting  urination
1686,Drug Reaction,itching, stomach pain, burning micturition, spotting  urination
1687,Drug Reaction,itching, skin rash, burning micturition, spotting  urination
1688,Drug Reaction,itching, skin rash, stomach pain, spotting  urination
1689,Drug Reaction,itching, skin rash, stomach pain, burning micturition
1690,Peptic ulcer diseae, vomiting, loss of appetite, abdominal pain, passage of gases
1691,Peptic ulcer diseae, vomiting, indigestion, abdominal pain, passage of gases
1692,Peptic ulcer diseae, indigestion, loss of appetite, abdominal pain, passage of gases
1693,Peptic ulcer diseae, vomiting, loss of appetite, abdominal pain, passage of gases
1694,Peptic ulcer diseae, vomiting, indigestion, abdominal pain, passage of gases
1695,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, passage of gases
1696,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
1697,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
1698,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
1699,Peptic ulcer diseae, vomiting, indigestion, loss of appetite, abdominal pain
1700,AIDS, muscle wasting, patches in throat, high fever, extra marital contacts
1701,AIDS, patches in throat, high fever, extra marital contacts,
1702,AIDS, muscle wasting, high fever, extra marital contacts,
1703,AIDS, muscle wasting, patches in throat, extra marital contacts,
1704,AIDS, muscle wasting, patches in throat, high fever,
1705,AIDS, muscle wasting, patches in throat, high fever, extra marital contacts
1706,AIDS, muscle wasting, patches in throat, high fever, extra marital contacts
1707,AIDS, patches in throat, high fever, extra marital contacts,
1708,AIDS, muscle wasting, high fever, extra marital contacts,
1709,AIDS, muscle wasting, patches in throat, high fever,
1710,Diabetes , fatigue, weight loss, restlessness, lethargy
1711,Diabetes , fatigue, weight loss, restlessness, lethargy
1712,Diabetes , weight loss, restlessness, lethargy, irregular sugar level
1713,Diabetes , fatigue, restlessness, lethargy, irregular sugar level
1714,Diabetes , fatigue, weight loss, lethargy, irregular sugar level
1715,Diabetes , fatigue, weight loss, restlessness, irregular sugar level
1716,Diabetes , fatigue, weight loss, restlessness, lethargy
1717,Diabetes , fatigue, weight loss, restlessness, lethargy
1718,Diabetes , fatigue, weight loss, restlessness, lethargy
1719,Diabetes , fatigue, weight loss, restlessness, lethargy
1720,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
1721,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
1722,Gastroenteritis, sunken eyes, dehydration, diarrhoea,
1723,Gastroenteritis, vomiting, dehydration, diarrhoea,
1724,Gastroenteritis, vomiting, sunken eyes, diarrhoea,
1725,Gastroenteritis, vomiting, sunken eyes, dehydration,
1726,Gastroenteritis, vomiting, sunken eyes, dehydration, diarrhoea
1727,Gastroenteritis, sunken eyes, dehydration, diarrhoea,
1728,Gastroenteritis, vomiting, dehydration, diarrhoea,
1729,Gastroenteritis, vomiting, sunken eyes, diarrhoea,
1730,Bronchial Asthma, fatigue, cough, high fever, breathlessness
1731,Bronchial Asthma, cough, high fever, breathlessness, family history
1732,Bronchial Asthma, fatigue, high fever, breathlessness, family history
1733,Bronchial Asthma, fatigue, cough, breathlessness, family history
1734,Bronchial Asthma, fatigue, cough, high fever, family history
1735,Bronchial Asthma, fatigue, cough, high fever, breathlessness
1736,Bronchial Asthma, fatigue, cough, high fever, breathlessness
1737,Bronchial Asthma, fatigue, cough, high fever, breathlessness
1738,Bronchial Asthma, cough, high fever, breathlessness, family history
1739,Bronchial Asthma, fatigue, high fever, breathlessness, family history
1740,Hypertension , headache, chest pain, dizziness, loss of balance
1741,Hypertension , chest pain, dizziness, loss of balance, lack of concentration
1742,Hypertension , headache, dizziness, loss of balance, lack of concentration
1743,Hypertension , headache, chest pain, loss of balance, lack of concentration
1744,Hypertension , headache, chest pain, dizziness, lack of concentration
1745,Hypertension , headache, chest pain, dizziness, loss of balance
1746,Hypertension , headache, chest pain, dizziness, loss of balance
1747,Hypertension , chest pain, dizziness, loss of balance, lack of concentration
1748,Hypertension , headache, dizziness, loss of balance, lack of concentration
1749,Hypertension , headache, chest pain, loss of balance, lack of concentration
1750,Migraine, acidity, indigestion, headache, blurred and distorted vision
1751,Migraine, indigestion, headache, blurred and distorted vision, excessive hunger
1752,Migraine, acidity, headache, blurred and distorted vision, excessive hunger
1753,Migraine, acidity, indigestion, blurred and distorted vision, excessive hunger
1754,Migraine, acidity, indigestion, headache, excessive hunger
1755,Migraine, acidity, indigestion, headache, blurred and distorted vision
1756,Migraine, acidity, indigestion, headache, blurred and distorted vision
1757,Migraine, acidity, indigestion, headache, blurred and distorted vision
1758,Migraine, acidity, indigestion, headache, blurred and distorted vision
1759,Migraine, acidity, indigestion, headache, blurred and distorted vision
1760,Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness
1761,Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness
1762,Cervical spondylosis, weakness in limbs, neck pain, dizziness, loss of balance
1763,Cervical spondylosis, back pain, neck pain, dizziness, loss of balance
1764,Cervical spondylosis, back pain, weakness in limbs, dizziness, loss of balance
1765,Cervical spondylosis, back pain, weakness in limbs, neck pain, loss of balance
1766,Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness
1767,Cervical spondylosis, back pain, weakness in limbs, neck pain, dizziness
1768,Cervical spondylosis, weakness in limbs, neck pain, dizziness, loss of balance
1769,Cervical spondylosis, back pain, neck pain, dizziness, loss of balance
1770,Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium
1771,Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium
1772,Paralysis (brain hemorrhage), headache, weakness of one body side, altered sensorium,
1773,Paralysis (brain hemorrhage), vomiting, weakness of one body side, altered sensorium,
1774,Paralysis (brain hemorrhage), vomiting, headache, altered sensorium,
1775,Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side,
1776,Paralysis (brain hemorrhage), vomiting, headache, weakness of one body side, altered sensorium
1777,Paralysis (brain hemorrhage), headache, weakness of one body side, altered sensorium,
1778,Paralysis (brain hemorrhage), vomiting, weakness of one body side, altered sensorium,
1779,Paralysis (brain hemorrhage), vomiting, headache, altered sensorium,
1780,Jaundice,itching, vomiting, fatigue, weight loss
1781,Jaundice,itching, vomiting, fatigue, weight loss
1782,Jaundice, vomiting, fatigue, weight loss, high fever
1783,Jaundice,itching, fatigue, weight loss, high fever
1784,Jaundice,itching, vomiting, weight loss, high fever
1785,Jaundice,itching, vomiting, fatigue, high fever
1786,Jaundice,itching, vomiting, fatigue, weight loss
1787,Jaundice,itching, vomiting, fatigue, weight loss
1788,Jaundice,itching, vomiting, fatigue, weight loss
1789,Jaundice,itching, vomiting, fatigue, weight loss
1790,Malaria, chills, vomiting, high fever, sweating
1791,Malaria, chills, vomiting, high fever, sweating
1792,Malaria, chills, vomiting, high fever, sweating
1793,Malaria, vomiting, high fever, sweating, headache
1794,Malaria, chills, high fever, sweating, headache
1795,Malaria, chills, vomiting, sweating, headache
1796,Malaria, chills, vomiting, high fever, headache
1797,Malaria, chills, vomiting, high fever, sweating
1798,Malaria, chills, vomiting, high fever, sweating
1799,Malaria, chills, vomiting, high fever, sweating
1800,Chicken pox,itching, skin rash, fatigue, lethargy
1801,Chicken pox, skin rash, fatigue, lethargy, high fever
1802,Chicken pox,itching, fatigue, lethargy, high fever
1803,Chicken pox,itching, skin rash, lethargy, high fever
1804,Chicken pox,itching, skin rash, fatigue, high fever
1805,Chicken pox,itching, skin rash, fatigue, lethargy
1806,Chicken pox,itching, skin rash, fatigue, lethargy
1807,Chicken pox,itching, skin rash, fatigue, lethargy
1808,Chicken pox,itching, skin rash, fatigue, lethargy
1809,Chicken pox,itching, skin rash, fatigue, lethargy
1810,Dengue, skin rash, chills, joint pain, vomiting
1811,Dengue, skin rash, chills, joint pain, vomiting
1812,Dengue, skin rash, chills, joint pain, vomiting
1813,Dengue, skin rash, chills, joint pain, vomiting
1814,Dengue, chills, joint pain, vomiting, fatigue
1815,Dengue, skin rash, joint pain, vomiting, fatigue
1816,Dengue, skin rash, chills, vomiting, fatigue
1817,Dengue, skin rash, chills, joint pain, fatigue
1818,Dengue, skin rash, chills, joint pain, vomiting
1819,Dengue, skin rash, chills, joint pain, vomiting
1820,Typhoid, chills, vomiting, fatigue, high fever
1821,Typhoid, chills, vomiting, fatigue, high fever
1822,Typhoid, chills, vomiting, fatigue, high fever
1823,Typhoid, chills, vomiting, fatigue, high fever
1824,Typhoid, chills, vomiting, fatigue, high fever
1825,Typhoid, chills, vomiting, fatigue, high fever
1826,Typhoid, chills, vomiting, fatigue, high fever
1827,Typhoid, chills, vomiting, fatigue, high fever
1828,Typhoid, chills, vomiting, fatigue, high fever
1829,Typhoid, chills, fatigue, high fever, headache
1830,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1831,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1832,hepatitis A, vomiting, yellowish skin, dark urine, nausea
1833,hepatitis A, joint pain, yellowish skin, dark urine, nausea
1834,hepatitis A, joint pain, vomiting, dark urine, nausea
1835,hepatitis A, joint pain, vomiting, yellowish skin, nausea
1836,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1837,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1838,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1839,hepatitis A, joint pain, vomiting, yellowish skin, dark urine
1840,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1841,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1842,Hepatitis B, fatigue, lethargy, yellowish skin, dark urine
1843,Hepatitis B,itching, lethargy, yellowish skin, dark urine
1844,Hepatitis B,itching, fatigue, yellowish skin, dark urine
1845,Hepatitis B,itching, fatigue, lethargy, dark urine
1846,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1847,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1848,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1849,Hepatitis B,itching, fatigue, lethargy, yellowish skin
1850,Hepatitis C, fatigue, yellowish skin, nausea, loss of appetite
